"Interface",,,,,,,,,,,,,,,,,,,
"interface_name","port_direction","port_type","port_name","description","interface_spec_size",,,,,,,,,,"variable convention",,,,"integrated rule"
,"output","logic","d_preg_rd","data that execution unit which to fill to rob","D_BL_MARC_REG",,,,,,,,,,,,,,
,"output","logic","d_creg_r1","data which want to store to control status register","D_BL_MARC_CREG",,,,,,,,,,,,,,
,"output","logic","i_creg_r1","address that want to store or req to rob","D_BL_MARC_CREG",,,,,,,,,,,,,,
,"output","logic","i_trapc","trap cause that these instruction generated.","I_BL_TRAPC",,,,,,,,,,,,,,
,"inv","TF_PC","SPEC_RES","for describe next pc and privilege that next instruction should be [spec result]","TP1",,,,,,,,,,,,,,
"-end-",,,,,,,,,,,,,,,,,,,
"TF_ROB_FILL",,,,,"ERF1",,,,,,,,,,,,,,
,"output","logic","d_preg_rd","hold data which represent the register value","D_BL_MARC_REG",,,,,,,,,,,,,,
,"output","logic","i_creg_rc","address of control status register","I_BL_MARC_CREG",,,,,,,,,,,,,,
,"output","logic","i_arch_nextPc","hold correct next program counter","I_BL_ARC_PC",,,,,,,,,,,,,,
,"output","logic","i_mem_addr","how memory address which will be sent to load store unit","I_BL_MEM_ADDR",,,,,,,,,,,,,,
,"output","logic","s_trapC","hold trap cause for current instruction","I_BL_TRAPC",,,,,,,,,,,,,,
"-end-",,,,,,,,,,,,,,,,,,,
