DATA_BLOCK,,,,,,,
block_name,required_Interface,interfaceId,relative_name,other_side_blk_name,other_side_name,original_direction,description
,TF_ROB_FILL,ERF1,fill_data_loader,LOADER,,no,fill data to rob1 (loader)
,TF_ROB_FILL,ERF1,fill__data_store,STORE,,no,fill data to rob (store)
,BC_COMMIT,G,st_commit,CORE_CONTROL_FLOW,,no,tell commit status to control flow
,BC_PREG,G,bc_preg,-bc-,,no,broadcast preg which associate to arcch register
,COM_ROB_INIT,RRR1,instr_init,REG_MNG,,no,for communicating with register manager to init instruction
,CMD_COMMIT_DIRECTOR,G,instr_drt,REG_MNG,,no,for recv guild of how to commit instruction
-end-,,,, ,,,
CORE_CONTROL_FLOW,ST_BLK,G,st,MASTER,st,yes,provide state of the block
,CMD_BLK,G,cmd,,cmd,,command block
,ST_BLK,G,st_INSTR_PAGE_WALKER,INSTR_PAGE_WALKER,,no,provide state of the block
,CMD_BLK,G,cmd_INSTR_PAGE_WALKER,,,,command block
,TF_PC,TP1,selected_pc,,,,command pc to instruction loader
,ST_BLK,G,st_INSTR_LOADER,INSTR_LOADER,,,provide state of the block
,CMD_BLK,G,cmd_INSTR_LOADER,,,,command block
,ST_BLK,G,st_DECODER,DECODER,,,provide state of the block
,CMD_BLK,G,cmd_DECODER,,,,command block
,ST_BLK,G,st_RSV_1,RSV_1,,,provide state of the block
,CMD_BLK,G,cmd_RSV_1,,,,command block
,ST_BLK,G,st_RSV_2,RSV_2,,,provide state of the block
,CMD_BLK,G,cmd_RSV_2,,,,command block
,ST_BLK,G,st_RSV_3,RSV_3,,,provide state of the block
,CMD_BLK,G,cmd_RSV_3,,,,command block
,ST_BLK,G,st_RSV_4,RSV_4,,,provide state of the block
,CMD_BLK,G,cmd_RSV_4,,,,command block
,ST_BLK,G,st_REG_MNG,REG_MNG,,,provide state of the block
,CMD_BLK,G,cmd_REG_MNG,,,,command block
,ST_BLK,G,st_ROB,ROB,,,provide state of the block
,CMD_BLK,G,cmd_ROB,,,,command block
,BC_COMMIT,G,commit_stat,,,,receive in committing status
-end-,,,, ,,,
MASTER,ST_BLK,G,st,CORE_CONTROL_FLOW,,no,provide state of the block
,CMD_BLK,G,cmd,,,,command block
-end-,,,, ,,,
